,Region 0,Region 1,Region 2,Region 3,Region 4
138,75.78947368421052,36.0,94.73684210526316,113.6842105263158,75.0
139,37.89473684210526,18.0,37.89473684210526,56.8421052631579,0.0
140,94.73684210526316,54.0,151.57894736842104,113.6842105263158,15.0
141,75.78947368421052,54.0,56.8421052631579,56.8421052631579,30.0
142,132.6315789473684,126.0,132.6315789473684,75.78947368421052,30.0
143,75.78947368421052,18.0,94.73684210526316,56.8421052631579,0.0
144,18.94736842105263,18.0,0.0,18.94736842105263,30.0
145,75.78947368421052,72.0,75.78947368421052,75.78947368421052,15.0
146,37.89473684210526,72.0,75.78947368421052,37.89473684210526,45.0
147,132.6315789473684,90.0,94.73684210526316,37.89473684210526,15.0
148,37.89473684210526,54.0,37.89473684210526,56.8421052631579,45.0
149,94.73684210526316,126.0,56.8421052631579,75.78947368421052,30.0
150,75.78947368421052,108.0,37.89473684210526,56.8421052631579,0.0
151,94.73684210526316,180.0,18.94736842105263,37.89473684210526,45.0
152,56.8421052631579,36.0,18.94736842105263,18.94736842105263,15.0
153,37.89473684210526,36.0,37.89473684210526,56.8421052631579,45.0
154,132.6315789473684,108.0,56.8421052631579,37.89473684210526,15.0
155,94.73684210526316,90.0,37.89473684210526,0.0,0.0
156,75.78947368421052,36.0,94.73684210526316,37.89473684210526,105.0
157,56.8421052631579,18.0,0.0,0.0,15.0
158,151.57894736842104,162.0,56.8421052631579,37.89473684210526,30.0
159,132.6315789473684,108.0,18.94736842105263,94.73684210526316,30.0
160,94.73684210526316,108.0,75.78947368421052,94.73684210526316,30.0
161,56.8421052631579,72.0,18.94736842105263,18.94736842105263,45.0
162,37.89473684210526,18.0,56.8421052631579,18.94736842105263,75.0
163,75.78947368421052,108.0,37.89473684210526,132.6315789473684,30.0
164,37.89473684210526,90.0,18.94736842105263,56.8421052631579,30.0
165,56.8421052631579,126.0,56.8421052631579,37.89473684210526,60.0
166,0.0,0.0,56.8421052631579,37.89473684210526,0.0
167,56.8421052631579,54.0,56.8421052631579,75.78947368421052,15.0
168,56.8421052631579,36.0,18.94736842105263,56.8421052631579,0.0
169,94.73684210526316,54.0,56.8421052631579,94.73684210526316,15.0
170,18.94736842105263,18.0,75.78947368421052,18.94736842105263,15.0
171,0.0,36.0,0.0,0.0,15.0
172,37.89473684210526,54.0,75.78947368421052,37.89473684210526,15.0
173,94.73684210526316,90.0,37.89473684210526,18.94736842105263,30.0
174,56.8421052631579,72.0,113.6842105263158,37.89473684210526,45.0
175,56.8421052631579,18.0,56.8421052631579,18.94736842105263,15.0
176,37.89473684210526,90.0,75.78947368421052,37.89473684210526,15.0
177,37.89473684210526,144.0,75.78947368421052,37.89473684210526,0.0
178,113.6842105263158,126.0,113.6842105263158,18.94736842105263,30.0
179,75.78947368421052,54.0,75.78947368421052,0.0,0.0
